Venue,Rank
American Economic Journal: Microeconomics,A*
American Economic Review: Insights,A*
American Economist,C
American Journal of Agricultural Economics,A*
American Journal of Comparative Law,A
American Journal of Economics and Sociology,B
American Journal of Evaluation,C
American Journal of Finance and Accounting,C
American Journal of Health Economics,A
American Journal of Political Science,A*
American Journal of Psychology,B
American Journal of Public Health,A*
American Journal of Recreation Therapy,C
American Journal of Sociology,A*
American Law and Economics Review,B
American Political Science Review,A*
American Psychologist,A*
American Review of Political Economy,C
American Review of Public Administration,B
American Sociological Review,A*
AMS Review,B
Analisis: cuadernos de investigacion,C
Anatolia,B
Annals Economy Series,C
Annals of Actuarial Science,A
Annals of Applied Probability,A
Annals of Applied Statistics,A
Annals of Economics and Finance,C
Annals of Finance,B
Annals of Leisure Research,B
Annals of Operations Research,A
Annals of Probability,A*
Annals of Public and Cooperative Economics,B
Annals of Statistics,A*
Annals of the American Academy of Political and Social Science,B
Annals of the Institute of Statistical Mathematics,A
Annals of Tourism Research,A*
Annual Editions: Economics,C
Annual Review of Banking and Financial Law,C
Annual Review of Economics,B
Annual Review of Financial Economics,B
Annual Review of Organizational Psychology and Organizational Behavior,A*
Annual Review of Psychology,A*
Annual Review of Resource Economics,B
Annual Review of Sociology,A*
Anti Trust Law Journal,A
Antitrust Bulletin,B
Appetite,A
Applied Cognitive Psychology,B
Applied Econometrics,C
Applied Econometrics and International Development,C
Applied Economic Analysis,B
Applied Economic Perspectives and Policy,B
Applied Economics,A
Applied Economics Letters,B
Applied Economics Quarterly,B
Applied Energy,A
Applied Finance Letters,B
Applied Financial Economics,B
Applied Health Economics and Health Policy,C
Applied Mathematical Finance,B
Applied Ontology,A
Applied Psychological Measurement,B
Applied Psychology: An International Review,A
Applied Soft Computing,C
Applied Stochastic Models in Business and Industry,B
Appraisal Journal,B
Aquaculture Economics and Management,C
Arizona Law Review,B
Arkansas Business and Economic Review,C
Art Law and Accounting Reporter,C
Artha-Vikas: a journal of economic development,C
Arts and the Market (formerly Arts Marketing),C
ASEAN Journal on Hospitality and Tourism,C
Asia Europe Journal,B
Asia Pacific Business Review,B
Asia Pacific Sustainable Development Journal,B
Asia Pacific Journal of Arts and Cultural Management,C
Asia Pacific Journal of Economics and Business,B
Asia Pacific Journal of Finance,B
Asia Pacific Journal of Health Management,C
Asia Pacific Journal of Information Systems,C
Asia Pacific Journal of Management,A
Asia Pacific Journal of Marketing and Logistics,A
Asia Pacific Journal of Taxation,C
Asia Pacific Journal of Tourism Research,A
Asia Pacific Law Review,C
Asia Pacific Public Relations Journal,B
Asia-Pacific Financial Markets,C
Asia-Pacific Journal of Accounting and Economics,B
Asia-Pacific Journal of Business Administration,C
Asia-Pacific Journal of Financial Studies,B
Asia-Pacific Journal of Human Resources,B
Asia-Pacific Journal of Risk and Insurance,B
Asia-Pacific Management Accounting Journal,C
Asia-Pacific Management Review,C
Asia-Pacific Tax Bulletin,C
Asian Academy of Management Journal,C
Asian Academy of Management Journal of Accounting and Finance,C
Asian and Pacific Economic Review,C
Asian and Pacific Migration Journal,C
Asian Business and Management,C
Asian Development Review,C
Asian Economic Journal,B
Asian Economic Papers,B
Asian Economic Policy Review,C
Asian Economies,C
Asian Journal of Accounting and Governance,C
Asian Journal of Accounting Research,C
Asian Journal of Agriculture and Development,C
Asian Journal of Business and Accounting,C
Asian Journal of Business Ethics,C
Asian Journal of Business Research,C
Asian Journal of International Law,C
Asian Journal of Management Cases,C
Asian Journal of Marketing (SING),C
Asian Journal of Political Science,B
Asian Journal of Social Science,C
Asian Journal of Tourism and Hospitality Research,C
Asian Population Studies,B
Asian Review of Accounting,B
Asian Survey,C
Asian-Pacific Economic Literature,C
Aslib Proceedings: New information perspectives,B
ASOR Bulletin,C
Asper Review of International Business and Trade Law,C
AStA Advances in Statistical Analysis,C
ASTIN Bulletin,A
ATA Journal of Legal Tax Research,C
Atlantic Economic Journal,C
Auckland University Law Review,C
Audit Financiar,C
Auditing: A Journal of Practice and Theory,A*
Australasian Accounting Business and Finance Journal,B
Australasian Agribusiness Review,C
Australasian Dispute Resolution Journal,C
Australasian Journal of Business and Behavioural Sciences,C
Australasian Journal of Economics Education,C
Australasian Journal of Environmental Management,A
Australasian Journal of Information Systems,A
Australasian Journal of Natural Resources Law and Policy,B
Australasian Journal of Regional Studies,B
Australasian Journal on Ageing,B
Australasian Marketing Journal,A
Australasian Parks and Leisure,C
Australian Accounting Review,B
Australian and New Zealand Journal of Criminology,A
Australian and New Zealand Journal of Statistics,A
Australian Bar Review,A
Australian Bulletin of Labour,B
Australian Business Law Review,A
Australian Commodities,C
Australian Economic History Review,B
Australian Economic Papers,B
Australian GST Journal,C
Australian Intellectual Property Journal,C
Australian Journal of Actuarial Practice (formerly Australian Actuarial Journal),C
Australian Journal of Asian Law,C
Australian Journal of Business and Management Research,C
Australian Journal of Career Development,B
Australian Journal of Competition and Consumer Law (formerly Trade Practices Law Journal),B
Australian Journal of Corporate Law,A
Australian Journal of Environmental Education,B
Australian Journal of Human Rights,C
Australian Journal of International Affairs,A
Australian Journal of Labour Economics: a journal of labour economics and labour relations,B
Australian Journal of Labour Law,A
Australian Journal of Management,A
Australian Journal of Political Science,A
Australian Journal of Psychology,B
Australian Journal of Public Administration,A
Australian Journal of Social Issues,B
Australian Law Journal,A
Australian Property Law Journal,B
Australian Psychologist,B
Australian Review of Public Affairs,C
Australian Tax Forum,A*
Australian Tax Law Bulletin,C
Australian Tax Review,A
Austrian Economic Quarterly,C
Automation in Construction,A*
Baltic Journal of Economics,C
Baltic Journal of Management,C
Bank Parikrama: A Journal of Banking and Finance,C
Banking and Finance Law Review,B
Banking Law Journal,C
Banks and Bank Systems,C
Basic and Applied Social Psychology,B
Basic Income Studies,C
Bayesian Analysis,A
Behavioral Research in Accounting,A
Behaviour and Information Technology,A
Benchmarking: an international journal,B
Berkeley Business Law Journal,B
Berkeley Technology Law Journal,A
Bernoulli,A
BFuP - Betriebswirtschaftliche Forschung und Praxis,C
Bio-based and Applied Economics Journal,C
Bioinformatics,A
Biometrical Journal,B
Biometrika,A*
Biostatistics,A
BMC Medical Informatics and Decision Making,B
Bond Law Review,B
Boston University Law Review,A*
Brazilian Electronic Journal of Economics,C
Brazilian Journal of Business Economics,C
Brazilian Journal of Rural Economy and Sociology,C
Briefing Notes in Economics,C
Briefings in Real Estate Finance,C
British Accounting Review,A*
British Actuarial Journal,B
British Food Journal,B
British Journal of Educational Technology,A
British Journal of Health Care Management,C
British Journal of Industrial Relations,A*
British Journal of Management,A
British Journal of Mathematical and Statistical Psychology,B
British Journal of Political Science,A
British Journal of Psychology,A
British Journal of Social Psychology,A
British Journal of Sociology,A
British Tax Review,A*
Brookings Papers on Economic Activity,A
Brussels Economic Review,C
Building Research and Information,A
Built Environment Project and Asset Management,B
Bulletin for International Taxation,B
Bulletin of Applied Economics,C
Bulletin of Comparative Labour Relations,C
Bulletin of Economic Research,B
Bulletin of Indonesian Economic Studies,B
Bulletin of Monetary Economics and Banking,C
Bulletin of the Czech Econometric Society,C
Business & Information Systems Engineering,A
Business and Economics Research Journal,C
Business and Human Rights Journal,C
Business and Politics,A
Business and Professional Ethics Journal,C
Business and Society,A
Business and Society Review,C
Business and Professional Communication Quarterly,C
Business Economics,B
Business Ethics Quarterly,A
Business Ethics: A European review,B
Business History,A
Business History Review,A
Business Horizons,B
Business Intelligence Journal,C
Business Law Review,C
Business Law Today,C
Business Perspectives and Research,C
Business Process Management Journal,B
Business Research Quarterly,B
Business Strategy and the Environment,A
Business Strategy Review,B
Cadernos de Pos-Graduacao em Direito Politico e Economico,C
California Management Review,A
Cambridge Journal of Economics,A
"Cambridge Journal of Regions, Economy and Society",B
Cambridge Law Journal,A*
Canadian Bar Review,B
Canadian Business Law Journal,A
Canadian Journal of Administrative Sciences / Revue Canadienne des Sciences de l Administration,B
Canadian Journal of Agricultural Economics / Revue Canadienne d Agroeconomie,A
Canadian Journal of Development Studies / Revue canadienne d'etudes du developpement,B
Canadian Journal of Economics / Revue Canadienne D'Economique,A
Canadian Journal of Marketing Research,C
Canadian Journal of Statistics,A
Canadian Journal of Transportation,C
Canadian Public Policy / Analyse de Politiques,B
Canadian Tax Journal,A*
Canberra Law Review,C
Canterbury Law Review,B
Capital and Class,B
Capital Markets Law Journal,A
Capital Markets Review,C
Capitalism and Society,C
Career Development and Transition for Exceptional Individuals,C
Career Development International,B
Case Studies on Transport Policy,C
Cayapa: revista venezolana de economia social,C
Central Bank Review,C
Central European Journal of Economic Modelling and Econometrics,C
Central European Journal of Operations Research,C
CESifo Economic Studies,C
Charity Law and Practice Review,B
Chilean Journal of Statistics,C
China Accounting and Finance Review,A
China Agricultural Economic Review,C
China and World Economy,B
China Economic Review,A
China Finance Review International,C
China Information,B
China Journal of Accounting Research,B
China Journal of Accounting Studies,B
The China Quarterly,A
Chinese Management Studies,C
Chinese Rural Economy,C
"Choices: The Magazine of Food, Farm, and Resource Issues",C
"Ciclos: en la historia, la economia y la sociedad",C
Citizenship Studies,C
Civil Justice Quarterly,A
Climate and Development,B
Climate Change Economics,B
Climate Policy,C
Cliometrica: journal of historical economics and econometric history,C
Cogent Economics and Finance,B
Cognitive Psychology,A
Columbia Business Law Review,A
Columbia Journal of Asian Law,A
Columbia Journal of Law and the Arts,A
Columbia Journal of Transnational Law,A
Columbia Law Review,A*
Commercial Law Quarterly,C
Common Law World Review,B
Common Market Law Review,B
Commonwealth and Comparative Politics,C
Communication & Sport,B
Communication Monographs,A
Communication Research,A
Communication Research and Practice,C
Communication Theory,A
Communications in Statistics: Theory and Methods,B
Communications Law Bulletin,C
Communications of the ACM,A
Communications of the Association for Information Systems,A
Community Development Journal,B
"Community, Work and Family",C
Company and Securities Law Journal,A
Company Lawyer,B
Comparative Economic Studies,B
Comparative Labor Law and Policy Journal,A
Comparative Political Studies,B
Comparative Politics,A
Competition and Change,B
Competition and Consumer Law Journal,A
Competition and Regulation in Network Industries,B
Competition Law Journal,C
Competitiveness Review,C
Comptabilité - Contrôle - Audit,B
Computational Economics,B
Computational Management Science,B
Computational Statistics and Data Analysis,A
Computer and Telecommunications Law Review,C
Computer Law & Security Review,B
Computer Supported Cooperative Work,B
Computers & Industrial Engineering,A
Computers and Operations Research,A
Computers and Security,A
Computers in Human Behavior,A
Conflict Management and Peace Science,B
Conflict Resolution Quarterly,B
Constitutional Political Economy,B
Construction Economics and Building,C
Construction Innovation,B
Construction Law Journal,B
Construction Management and Economics,A
Consumer Behavior in Tourism and Hospitality,B
Consumer Finance Law Quarterly Report,C
"Consumption, Markets and Culture",B
Contemporary Accounting Research,A*
Contemporary Economic Policy,B
Contemporary Economics,C
Contemporary Sociology,C
Contributions to Political Economy,B
Copernican Journal of Finance & Accounting,C
Copyright Society of the USA Journal,B
Cornell Hospitality Quarterly,A
Cornell International Law Journal,B
Cornell Law Review,A*
Corporate Board,C
Corporate Communications,B
Corporate Finance Review,C
Corporate Governance and Sustainability Review,C
Corporate Governance International,B
Corporate Governance,C
Corporate Governance: an international review,A
Corporate Ownership and Control,B
Corporate Reputation Review,C
Corporate Social Responsibility and Environmental Management,C
Corporate Taxation,C
Cost Effectiveness and Resource Allocation,C
Cost Management,C
Creativity and Innovation Management,C
Credit and Capital Markets,C
"Crime, Law and Social Change",B
Critical Asian Studies,B
Critical Discourse Studies,B
Critical Finance Review,A*
Critical Perspectives on Accounting,A
Critical Perspectives on International Business,B
Critical Studies in Media Communication,C
Cross Cultural & Strategic Management,B
Cultural Diversity and Ethnic Minority Psychology,B
Cultural Trends,B
Culture and Organization,B
Current Issues in Auditing,B
Current Issues in Tourism,A
Current Legal Problems,A
Current Politics and Economics of Europe,C
Curtin Law and Taxation Review,B
Customer Needs and Solutions,B
Cyprus Economic Policy Review,C
Czech Economic Review,C
Czech Journal of Economics and Finance / Finance a uver,C
Dalhousie Law Journal,A
Data and Knowledge Engineering,A
Data Base for Advances in Information Systems,A
De Economist,C
Deakin Law Review,A
Decision,A
Decision Analysis,A
Decision Sciences,A*
Decision Sciences Journal of Innovative Education,C
Decision Support Systems,A*
Decisions in Economics and Finance,B
Defence and Peace Economics,B
Defense Transportation Journal,C
Delaware Journal of Corporate Law,A
Demographic Research,A
Demography,A
DePaul Business and Commercial Law Journal,C
Derivatives & Financial Instruments,C
Design Studies,A
Developing Economies,B
Development and Change,B
Development and Learning in Organizations,C
Development Policy Review,B
Development Southern Africa,C
"Digital Policy, Regulation and Governance",B
Disasters,A
Discourse & Communication,A
Discourse & Society,A
Discourse Studies,A
Duke Journal of Comparative and International Law,A
Duke Law Journal,B
Duquesne Business Law Journal,C
Dynamic Econometric Models,C
Dynamic Games and Applications,B
E-Service Journal,B
Eastern Economic Journal,B
Eastern European Economics,B
EC Tax Review,B
Ecological Economics,A
Ecology,A
Econ Journal Watch,B
Econometric Reviews,A
Econometric Theory,A*
Econometrica,A*
Econometrics,B
Econometrics and Statistics,B
Econometrics Journal,A
Economia,C
Economia Internazionale,C
"Economia, the Journal of Latin American and Caribbean Economic Association (LACEA)",B
Economic Affairs,C
Economic Analysis and Policy,B
Economic and Business Review,C
Economic and Industrial Democracy: an international journal,A
Economic and Labour Market Review,C
Economic and Political Weekly,B
Economic and Social Review,B
Economic Change and Restructuring,B
Economic Computation and Economic Cybernetics Studies and Research,C
Economic Development and Cultural Change,A
Economic Development Quarterly,B
Economic Geography,A
Economic History of Developing Regions,C
Economic Inquiry,A
Economic Issues,B
Economic Modelling,A
Economic Notes,B
Economic Papers: a journal of applied economics and policy,B
Economic Policy: a European forum,A
Economic Policy / Ekonomicheskaya Politika,C
Economic Quarter / Trimestre Economico,B
Economic Review / Revue Economique,B
Economic Sciences,C
Economic Studies / Estudios de Economia,C
Economic Studies Journal,C
Economic Systems,B
Economic Systems Research,B
Economic Theory,A*
Economic Theory Bulletin,B
Economic Thought Journal,C
Economica,A
"Economics: The Open Access, Open Assessment E-journal",B
Economics & Politics,A
Economics and Applied Informatics,C
Economics and Business Review,C
Economics and Finance in Indonesia,C
Economics and Human Biology,A
Economics and Philosophy,A
Economics and Policy of Energy and the Environment,C
Economics Bulletin,C
Economics Letters,A
Economics of Education Review,A
Economics of Energy & Environmental Policy,B
Economics of Governance,B
Economics of Innovation and New Technology,B
Economics of Transportation,B
"Economics, Management, and Financial Markets",C
Economies,C
Economists' Voice,B
Economy and Society,A
"EDPACS: The EDP Audit, Control, and Security Newsletter",C
Education Economics,B
Education Finance and Policy,A
Educational and Psychological Measurement,A
Educational Management Administration & Leadership,B
eJournal of Tax Research,A
Ekonomia,C
Electronic Commerce Research,A
Electronic Commerce Research and Applications,C
Electronic Communication Law Review,C
Electronic Journal of Evolutionary Modeling and Economic Dynamics,C
Electronic Journal of IS Evaluation,B
Electronic Journal of Knowledge Management,C
Electronic Journal of Probability,A
Electronic Journal of Information Systems in Developing Countries,C
Electronic Markets,A
Emergence: complexity and organization,B
Emerging Markets Finance and Trade,B
Emerging Markets Review,A
Empirica,C
Empirical Economics,A
Empirical Economics Letters,C
Employee Relations,B
Employee Relations Law Journal,B
Employee Responsibilities and Rights Journal,C
Energy and Environment,C
Energy Economics,A*
Energy Journal,A
Energy Policy,A
"Energy Sources, Part B: Economics, Planning, and Policy",C
Energy Studies Review,C
Engineering Economics,B
Engineering Economist,C
"Engineering, Construction and Architectural Management",A
Enometrica,C
Enterprise and Society,A
Enterprise Development & Microfinance,C
Enterprise Governance eJournal,C
Enterprise Information Systems,A
Entertainment Law Review,B
Entrepreneurial Business Law Journal,C
Entrepreneurship and Regional Development,A
Entrepreneurship Research Journal,B
Entrepreneurship Theory and Practice,A*
Environment and Development Economics,B
Environment and Planning A: Economy and Space,A*
Environment and Planning B: planning and design,A*
Environment and Planning C: politics and space,B
Environment and Planning D: society and space,A
Environment and Urbanization Asia,C
Environmental and Ecological Statistics,A
Environmental and Planning Law Journal,B
Environmental and Resource Economics,A
Environmental Economics and Policy Studies,B
Environmental Education Research,A
Environmental Innovation and Societal Transitions,B
Environmental Management,C
Environmetrics,B
"Equality, Diversity and Inclusion",B
Erasmus Journal for Philosophy and Economics,C
Erasmus Law and Economics Review,C
ESAIM: Probability and Statistics,C
Essays in Economic & Business History,B
Estudos Economicos,C
Ethics and Economics,C
Ethics and Information Technology,C
"Ethics: an international journal of social, political, and legal philosophy",A
Eurasian Business Review,C
Eurasian Economic Review,C
Eurasian Geography and Economics,B
Eurasian Journal of Business and Economics,C
EURO Journal on Transportation and Logistics,B
EuroChoices,C
EuroMed Journal of Business,C
Europe-Asia Studies,C
European Actuarial Journal,B
European Business Law Review,C
European Business Organization Law Review,B
European Business Review,B
European Company Law,C
European Competition Journal,C
European Competition Law Review,A
European Economic Letters,C
European Economic Review,A*
European Financial Management,A
European Intellectual Property Review,A
European Journal of Communication,B
European Journal of Comparative Economics,B
European Journal of Development Research,B
European Journal of Economics and Economic Policies: Intervention,C
European Journal of Government and Economics,C
European Journal of Health Economics,A
European Journal of Industrial Relations,A
European Journal of Information Systems,A*
European Journal of Innovation Management,C
European Journal of International Law,A
European Journal of International Management,C
European Journal of International Relations,A
European Journal of Law and Economics,C
European Journal of Management Studies,C
European Journal of Marketing,A*
European Journal of Operational Research,A*
European Journal of Personality,A
European Journal of Political Economy,A
European Journal of Political Research,A
European Journal of Population,B
European Journal of Psychological Assessment,B
European Journal of Public Health,B
European Journal of Social Psychology,A
European Journal of Sociology,A
European Journal of the History of Economic Thought,B
European Journal of Training and Development,C
European Journal of Transport and Infrastructure Research,B
European Journal of Work and Organizational Psychology,A
European Law Journal,B
European Law Review,A
European Management Journal,B
European Management Review,C
European Review of Agricultural Economics,A
European Review of Economic History,A
European Sport Management Quarterly,A
European Taxation,B
European Transport / Trasporti Europei,C
European Transport Law,C
European Urban and Regional Studies,A
Evaluation,B
Evaluation Review,A
Event Management,A
Evidence-based HRM,B
Experimental Economics,A*
Expert Review of Pharmacoeconomics & Outcomes Research,C
Expert Systems with Applications,C
Explorations in Economic History,A
Facilities,B
Facta Universitatas: Economics and Organization,C
Faith and Economics,B
Family Business Review,A
Farm and Business - The Journal of the Caribbean Agro-Economic Society,C
Federal Law Review,A*
Feminist Economics,A
FIIB Business Review,C
Finance,C
Finance and Stochastics,A
Finance India,C
Finance Research Letters,A
Financial Accountability and Management,A
Financial Analysts Journal,A
Financial History Review,B
Financial Management,A
Financial Markets and Portfolio Management,B
"Financial Markets, Institutions and Instruments",B
Financial Planning Research Journal,C
Financial Reporting,C
"Financial Reporting, Regulation & Governance",C
Financial Review (US),A
Financial Services Newsletter,C
Financial Services Review,B
Financijska Teorija i Praksa,C
Finnish Economic Papers,B
First Monday,B
Fiscal Studies,B
Flexible Services and Manufacturing Journal,C
Food Policy,B
Food Quality and Preference,A
Fordham Journal of Corporate & Financial Law,B
Foreign Affairs,A*
Foreign Policy (Washington),A*
Foreign Trade Review,B
Foresight,C
Forest Policy and Economics,B
Forum for Health Economics and Policy,C
Forum for Social Economics,C
Forum of International Development Studies,B
Foundations and Trends in Accounting,A
Foundations and Trends in Econometrics,C
Foundations and Trends in Entrepreneurship,C
Foundations and Trends in Finance,B
Foundations and Trends in Microeconomics,C
Frontiers in Finance and Economics,C
Frontiers of Economics in China,C
Futures,B
Fuzzy Economic Review,C
Gambling Research,C
Games,B
Games and Economic Behavior,A*
Gender and Society,A*
Gender in Management: an international journal,C
"Gender, Work and Organization",A
German Economic Review,B
German Journal of Agricultural Economics,C
German Journal of Human Resource Management,B
Global Business and Economics Review,C
Global Business and Organizational Excellence,C
Global Business Review,C
Global Economic Review,C
Global Economy Journal,B
Global Environmental Change,A*
Global Environmental Politics,C
Global Finance Journal,A
Global Journal of Accounting and Finance,C
Global Journal of Flexible Systems Management,A
"Global Knowledge, Memory and Communication",B
Global Networks: A Journal of Transnational Affairs,A
Global Perspectives on Accounting Education,C
Global Social Policy,C
Global Strategy Journal,A
Gospodarka Narodowa,C
Government Information Quarterly,A
Griffith Law Review,C
Group & Organization Management,A
Group Decision and Negotiation,A
"Group Dynamics: theory, research and practice",B
Group Processes and Intergroup Relations,B
Growth and Change,B
Habitat International,A
Harvard Business Review,A
Harvard Environmental Law Review,A
Harvard International Law Journal,A
Harvard Journal of Law and Public Policy,A
Harvard Journal of Law and Technology,A
Harvard Law Review,A*
Hastings Business Law Journal,B
Health Care Management Review,A
Health Care Management Science,B
Health Communication,B
Health Economics,A*
Health Economics Review,C
"Health Economics, Policy and Law",B
Health Informatics Journal,C
Health Marketing Quarterly,B
Health Policy,A
Health Policy and Technology,B
Health Promotion International,A
Health Services and Outcomes Research Methodology,C
Health Services Management Research,C
Health Services Research,A
Higher Education Quarterly,C
"Higher Education, Skills and Work-based Learning",C
Historical Materialism,C
Historical Studies in Industrial Relations,C
History of Economic Ideas,B
History of Economic Thought and Policy,C
History of Economics Review,B
History of Political Economy,A
Hitotsubashi Journal of Economics,B
Homo Oeconomicus,C
Hong Kong Law Journal,A
Hospitality & Society,C
Housing Policy Debate,B
Housing Studies,A
Houston Business and Tax Law Journal,C
Human Communication Research,A
Human IT,B
Human Performance,A
Human Relations,A*
Human Resource Development International,B
Human Resource Development Quarterly,B
Human Resource Development Review,B
Human Resource Management (US),A*
Human Resource Management International Digest,C
Human Resource Management Journal (UK),A
Human Resource Management Review,A
Human Systems Management,C
Human-Computer Interaction,A
IATSS Research,C
IBM Systems Journal,A
ICSID Review: foreign investment law journal,C
IEEE Transactions on Engineering Management,A
IEEE Transactions on Intelligent Transportation Systems,A
IEEE Transactions on Professional Communication,B
IEEE Transactions on Vehicular Technology,A
IIC International Review of Intellectual Property and Competition Law,A
IISE Transactions,A
IIM Kozhikode Society and Management Review,C
IIMB Management Review,B
ILR Review (Industrial and Labor Relations Review),A*
IMA Educational Case Journal,C
IMF Economic Review,A
Impact Assessment and Project Appraisal,C
Indian Economic Journal,B
Indian Economic Review,C
Indian Growth and Development Review,B
Indian Journal of Corporate Governance,C
Indian Journal of Economics,C
Indian Journal of Finance,C
Indian Journal of Gender Studies,C
Indian Journal of Industrial Relations,C
Indian Journal of Labour Economics,C
Indian Journal of Marketing,C
Indonesian Journal of Sustainability Accounting and Management,C
Indonesian Management and Accounting Research,C
Industrial and Corporate Change,A
Industrial and Organizational Psychology: perspectives on science & practice,B
Industrial Law Journal,A
Industrial Management & Data Systems,A
Industrial Marketing Management,A*
Industrial Relations Journal,A
Industrial Relations: a journal of economy and society,A*
Industry and Higher Education,C
Industry and Innovation,B
INFOR (INFOR: Information Systems and Operational Research),B
Informatics for Health and Social Care,C
Information Knowledge Systems Management,C
Information & Management,A*
Information and Communications Technology Law,C
Information and Computation,B
Information and Computer Security,B
Information and Organization,A*
Information and Software Technology,A
Information Discovery and Delivery,C
Information Economics and Policy,A
Information Polity,C
Information Processing & Management,B
Information Processing Letters,C
Information Research,C
Information Resources Management Journal,C
Information Retrieval Journal,C
Information Systems and e-Business Management,B
Information Systems Frontiers,A
Information Systems Journal,A*
Information Systems Management,B
Information Systems Research,A*
Information Technology & People,A
Information Technology & Tourism,B
Information Technology and Libraries,C
Information Technology and Management,B
Information Technology for Development,B
Information Technology Management,B
Information Visualization,C
"Information, Communication & Society",A
INFORMS Journal on Applied Analytics,B
INFORMS Journal on Computing,B
Innovation Policy and the Economy,B
Innovation: Organization & Management,C
Innovation: The European Journal of Social Sciences Research,B
Insolvency Law Bulletin,C
Insolvency Law Journal,A
Insurance and Reinsurance Law Briefing,C
Insurance Law Journal,A
Insurance: Mathematics & Economics,A*
Intellectual Property and Technology Law Journal,C
Intellectual Property Journal,A
Intellectual Property Quarterly,C
"Intelligent Systems in Accounting, Finance and Management: An International Journal",B
Interacting with Computers,C
Interdisciplinary Environmental Review,C
Intereconomics: review of European economic policy,C
Internal Auditing,C
International & Comparative Law Quarterly,A*
International Advances in Economic Research,C
International Affairs,A
International and Comparative Corporate Law Journal,A
International Business Lawyer,C
International Business Review,A
International Company and Commercial Law Review,B
International Data Privacy Law,C
International Development Planning Review,B
International Economic Journal,C
International Economic Review,A*
International Economics and Economic Policy,B
International Entrepreneurship and Management Journal,C
"International Environmental Agreements: Politics, Law and Economics",A
International Finance,B
International Gambling Studies,B
International Game Theory Review,B
International Hospitality Review,C
International Insolvency Review,B
International Insurance Law Review,A
International Journal of Accounting and Business Finance,C
International Journal of Accounting and Finance,C
International Journal of Accounting and Information Management,B
International Journal of Accounting Information Systems,A
"International Journal of Accounting, Auditing and Performance Evaluation",C
International Journal of Advertising,A
"International Journal of Agricultural Resources, Governance and Ecology",C
International Journal of Applied Economic Sciences & Applied Research,C
International Journal of Applied Economics,C
International Journal of Applied Economics and Econometrics,C
International Journal of Applied Management and Technology,C
International Journal of Arts Management,B
International Journal of Asian Studies,B
