Venue,Rank
Environmental and Resource Economics,2
"Equality, Diversity, and Inclusion: An International Review",4
Europe-Asia Studies,4
European Accounting Review,2
European Business Review,3
European Financial Management,3
European Journal of Finance,3
European Journal of Health Economics,3
European Journal of Industrial Relations,3
European Journal of Information Systems,1*
European Journal of Innovation Management,3
European Journal of International Management,4
European Journal of Marketing,2
European Journal of Operational Research,1
European Journal of the History of Economic Thought,3
European Journal of Work and Organizational Psychology,3
European Management Journal,3
European Management Review,2
Evaluation,3
Expert Systems with Applications,3
Family Business Review,2
Finance and Stochastics,2
Finance Research Letters,3
Financial Accountability and Management,4
Financial Analysts Journal,2
Financial Management,2
Financial Markets and Portfolio Management,4
"Financial Markets, Institutions and Instruments",3
Financial Review,3
Flexible Services and Manufacturing Journal,4
Food Quality and Preference,4
Futures,3
Gender and Society,2
"Gender, Work and Organization",2
Geneva Papers on Risk and Insurance: Issues and Practic,3
Geneva Risk and Insurance Review,3
Global Finance Journal,4
Global Strategy Journal,1
Governance,2
Group and Organization Management,2
Group Decision and Negotiation,3
Group Dynamics,3
Growth and Change,3
Harvard Business Review,2
Health Care Management Science,3
Health Economics (United Kingdom),2
Health Policy,2
Health Services Management Research,4
Higher Education,4
Higher Education Quarterly,4
History of Political Economy,3
Human Performance,3
Human Relations,1
Human Resource Development Quarterly,4
Human Resource Management,1
Human Resource Management Journal,1
Human Resource Management Review,2
Human-Computer Interaction,3
IEEE Transactions on Engineering Management,2
IEEE Transactions on Knowledge and Data Engineering,3
IEEE Transactions on Software Engineering,3
ILR Review,2
Industrial and Corporate Change,2
Industrial Management and Data Systems,3
Industrial Marketing Management,2
Industrial Relations,1
Industry and Innovation,3
Information and Management,1
Information and Organization,2
Information Processing and Management,3
Information Society,3
Information Systems Frontiers,2
Information Systems Journal,1
Information Systems Management,4
Information Systems Research,1*
Information Technology and Management,4
Information Technology and People,2
INFORMS Journal on Applied Analytics (formerly Interfaces),3
Insurance: Mathematics and Economics,3
International Business Review,2
International Journal of Accounting,3
International Journal of Advertising,3
International Journal of Auditing,3
International Journal of Bank Marketing,4
International Journal of Consumer Studies,3
International Journal of Contemporary Hospitality Manage,3
International Journal of Cross Cultural Management,4
International Journal of Electronic Commerce,2
International Journal of Entrepreneurial Behaviour and Re,3
International Journal of Entrepreneurship and Innovation,4
International Journal of Finance and Economics,3
International Journal of Forecasting,3
International Journal of Hospitality Management,3
International Journal of Human Computer Studies,3
International Journal of Human Resource Management,2
International Journal of Information Management,2
International Journal of Innovation Management,4
International Journal of Intercultural Relations,4
International Journal of Logistics Management,3
International Journal of Logistics Research and Application,3
International Journal of Management Reviews,2
International Journal of Managerial Finance,4
International Journal of Manpower,3
International Journal of Market Research,3
International Journal of Operations and Production Manag,1
International Journal of Physical Distribution and Logistics,2
International Journal of Production Economics,2
International Journal of Production Research,2
International Journal of Project Management,2
International Journal of Public Administration,3
International Journal of Public Sector Management,4
International Journal of Quality and Reliability Managemen,4
International Journal of Research in Marketing,1
International Journal of Retail and Distribution Manageme,3
International Journal of Selection and Assessment,3
International Journal of Stress Management,4
International Journal of Technology Management,3
International Journal of Theoretical and Applied Finance,4
International Journal of Tourism Research,3
International Journal of Urban and Regional Research,3
International Labour Review,3
International Marketing Review,2
International Review of Administrative Sciences,3
International Review of Economics and Finance,3
International Review of Financial Analysis,3
International Review of Public Administration,4
International Small Business Journal,2
International Studies of Management and Organization,3
International Transactions in Operational Research,4
Internet Research,3
Journal of Accounting and Economics,1*
Journal of Accounting and Public Policy,2
Journal of Accounting Literature,3
Journal of Accounting Research,1*
"Journal of Accounting, Auditing and Finance",3
Journal of Advertising,2
Journal of Advertising Research,2
Journal of Applied Accounting Research,3
Journal of Applied Corporate Finance,4
Journal of Applied Psychology,1*
Journal of Applied Social Psychology,4
Journal of Banking and Finance,1
Journal of Behavioral and Experimental Economics,3
Journal of Behavioral Decision Making,2
Journal of Behavioral Finance,4
Journal of Brand Management,3
Journal of Business and Economic Statistics,1
Journal of Business and Industrial Marketing,3
Journal of Business and Psychology,3
Journal of Business Ethics,1
Journal of Business Finance and Accounting,2
Journal of Business Logistics,2
Journal of Business Research,2
Journal of Business Strategy,4
Journal of Business Venturing,1*
Journal of Business Venturing Insights,4
Journal of Business-to-Business Marketing,4
Journal of Commodity Markets,3
Journal of Communication,4
Journal of Computational Finance,4
Journal of Computer Information Systems,4
Journal of Conflict Resolution,2
Journal of Consumer Affairs,3
Journal of Consumer Behaviour,3
Journal of Consumer Marketing,4
Journal of Consumer Psychology,1
Journal of Consumer Research,1*
Journal of Contemporary Accounting and Economics,3
Journal of Corporate Finance,1
Journal of Cultural Economy,4
Journal of Database Management,4
Journal of Derivatives,3
Journal of Destination Marketing and Management,4
Journal of Development Studies,3
Journal of Economic Behavior and Organization,2
Journal of Economic Dynamics and Control,2
Journal of Economic Geography,2
Journal of Economic Psychology,3
Journal of Economics and Management Strategy,2
Journal of Electronic Commerce Research,4
Journal of Empirical Finance,2
Journal of Engineering and Technology Management - JE,3
Journal of Enterprise Information Management,3
Journal of Environmental Economics and Management,1
Journal of Environmental Management,2
Journal of European Public Policy,2
Journal of European Social Policy,3
Journal of Finance,1*
Journal of Financial and Quantitative Analysis,1
Journal of Financial Econometrics,2
Journal of Financial Economics,1*
Journal of Financial Intermediation,1
Journal of Financial Markets,2
Journal of Financial Research,3
Journal of Financial Services Research,3
Journal of Financial Stability,2
Journal of Fixed Income,3
Journal of Forecasting,3
Journal of Futures Markets,3
Journal of General Management,4
Journal of Global Information Management,3
Journal of High Technology Management Research,4
Journal of Higher Education,4
Journal of Hospitality and Tourism Management,3
Journal of Hospitality and Tourism Research,3
Journal of Hospitality Marketing and Management,4
Journal of Human Resources,2
Journal of Industrial Ecology,3
Journal of Industrial Economics,3
Journal of Industrial Relations,4
Journal of Information Science,4
Journal of Information Systems,4
Journal of Information Technology,1
Journal of Interactive Marketing,2
Journal of International Accounting Research,3
"Journal of International Accounting, Auditing and Taxation",3
Journal of International Business Studies,1*
"Journal of International Financial Markets, Institutions and",3
Journal of International Management,2
Journal of International Marketing,2
Journal of International Money and Finance,2
Journal of Knowledge Management,2
Journal of Labor Economics,1
Journal of Labor Research,4
Journal of Law and Economics,2
"Journal of Law, Economics, and Organization",2
Journal of Macromarketing,2
Journal of Management,1
Journal of Management Accounting Research,3
Journal of Management and Governance,4
Journal of Management Development,4
Journal of Management Education,3
Journal of Management History,4
Journal of Management Information Systems,1
Journal of Management Inquiry,2
Journal of Management Studies,1
Journal of Managerial Psychology,3
Journal of Manufacturing Systems,4
Journal of Manufacturing Technology Management,4
Journal of Marketing,1*
Journal of Marketing Education,4
Journal of Marketing Management,3
Journal of Marketing Research,1*
Journal of Marketing Theory and Practice,4
"Journal of Money, Credit and Banking",1
Journal of Multinational Financial Management,4
Journal of Occupational and Organizational Psychology,2
Journal of Occupational Health Psychology,2
Journal of Operations Management,1*
Journal of Organizational Behavior,1
Journal of Organizational Behavior Management,3
Journal of Organizational Change Management,3
Journal of Organizational Computing and Electronic Comm,4
Journal of Personal Selling and Sales Management,3
Journal of Policy Analysis and Management,3
Journal of Political Economy,1*
Journal of Portfolio Management,3
Journal of Product and Brand Management,4
Journal of Product Innovation Management,1
Journal of Productivity Analysis,3
Journal of Professions and Organization,4
Journal of Public Administration Research and Theory,2
Journal of Public Economics,1
Journal of Public Policy and Marketing,2
Journal of Purchasing and Supply Management,2
Journal of Quality Technology,3
Journal of Real Estate Finance and Economics,3
Journal of Retailing,1
Journal of Retailing and Consumer Services,3
Journal of Risk and Insurance,2
Journal of Risk and Uncertainty,2
Journal of Service Management,3
Journal of Service Research,1
Journal of Service Theory and Practice,4
Journal of Services Marketing,3
Journal of Small Business and Enterprise Development,4
Journal of Small Business Management,2
Journal of Sport Management,4
Journal of Strategic Information Systems,1
Journal of Strategic Marketing,4
Journal of Supply Chain Management,1
Journal of Sustainable Tourism,3
Journal of the Academy of Marketing Science,1
Journal of the Association for Information Science and Tec,4
Journal of the Association for Information Systems,1
Journal of the Association of Environmental and Resource,3
Journal of the Operational Research Society,2
Journal of Transport Economics and Policy,4
Journal of Transport Geography,3
Journal of Travel and Tourism Marketing,3
Journal of Travel Research,2
Journal of Vocational Behavior,1
Journal of World Business,1
Judgment and Decision Making,3
Knowledge and Process Management,4
Knowledge-Based Systems,4
Kyklos,3
Labor History,4
Labour Economics,2
Labour History,4
Land Economics,3
Leadership,4
Leadership and Organization Development Journal,4
Leadership Quarterly,1
Local Economy,4
Local Government Studies,3
Long Range Planning,1
M@n@gement,2
Management Accounting Research,2
Management and Organization Review,3
Management Communication Quarterly,4
Management Decision,3
Management International Review,3
Management Learning,2
Management Science,1*
Managerial and Decision Economics,3
Managerial Auditing Journal,3
Managerial Finance,4
Manufacturing and Service Operations Management,1
Marine Policy,4
Marketing Letters,2
Marketing Science,1*
Marketing Theory,3
Mathematical Finance,2
Milbank Quarterly,3
MIS Quarterly Executive,3
MIS Quarterly: Management Information Systems,1*
MIT Sloan Management Review,2
Multinational Business Review,3
Negotiation Journal,4
"New Technology, Work and Employment",2
Nonprofit and Voluntary Sector Quarterly,2
Nonprofit Management and Leadership,4
North American Actuarial Journal,3
OMEGA,2
Operations Research,1*
Organization,2
Organization and Environment,2
Organization Science,1*
Organization Studies,1
Organization Theory,4
Organizational Behavior and Human Decision Processes,1
Organizational Dynamics,2
Organizational Psychology Review,3
Organizational Research Methods,1
Pacific Basin Finance Journal,3
Papers in Regional Science,3
Personnel Psychology,1*
Personnel Review,3
Policy and Politics,3
Production and Operations Management,1
Production Planning and Control,2
Project Management Journal,4
Psychological Science,2
Psychology and Marketing,2
Public Administration,2
Public Administration and Development,3
Public Administration Quarterly,4
Public Administration Review,1
Public Management Review,2
Public Money and Management,3
Qualitative Market Research,4
Qualitative Research in Accounting and Management,3
Quantitative Finance,3
Quantitative Marketing and Economics,2
Quarterly Review of Economics and Finance,3
R and D Management,2
RAND Journal of Economics,1
Real Estate Economics,3
Regional Science and Urban Economics,3
Regional Studies,2
Research in International Business and Finance,3
Research in Organizational Behavior,2
Research Policy,1*
Research Technology Management,3
Review of Accounting Studies,1
Review of Asset Pricing Studies,3
Review of Corporate Finance Studies,2
Review of Derivatives Research,3
Review of Finance,1
Review of Financial Economics,4
Review of Financial Studies,1*
Review of Industrial Organization,3
Review of Managerial Science,3
Review of Quantitative Finance and Accounting,3
Revue Francaise de Gestion,2
Safety Science,3
Scandinavian Journal of Economics,3
Scandinavian Journal of Information Systems,4
Scandinavian Journal of Management,3
Schmalenbach Business Review,4
Science Technology and Human Values,3
Scientometrics,3
Service Industries Journal,3
Small Business Economics,2
Small Group Research,3
Social Science and Medicine,1
Socio-Economic Planning Sciences,4
Socio-Economic Review,2
Sociological Methods and Research,4
Sociology,2
Sport Management Review,3
Strategic Change,4
Strategic Entrepreneurship Journal,1
Strategic Management Journal,1*
Strategic Organization,1
Studies in Higher Education,3
Supply Chain Management,2
Technological Forecasting and Social Change,2
Technology Analysis and Strategic Management,3
Technovation,2
Telecommunications Policy,4
The Journal of Applied Behavioral Science,3
"Theory, Culture and Society",3
Thunderbird International Business Review,3
Total Quality Management and Business Excellence,4
Tourism Analysis,4
Tourism Economics,4
Tourism Management,1
Tourism Management Perspectives,3
Tourism Planning and Development,4
Transport Policy,3
Transport Reviews,3
Transportation,3
Transportation Research Part A: Policy and Practice,2
Transportation Research Part B: Methodological,1
Transportation Research Part D: Transport and Environme,2
Transportation Research Part E: Logistics and Transportat,1
Urban Studies,2
VOLUNTAS,4
Work and Occupations,3
Work and Stress,3
"Work, Employment and Society",2
World Bank Economic Review,3
World Development,2
