Venue,Rank
IEEE Vehicular Technology Conference|VTC,B
Algorithms and Data Structures Symposium (was Workshop on Algorithms and Data Structures)|WADS,B
International Conference and Workshops on Algorithms and Computation|WALCOM,B
Workshop on Approximation and Online Algorithms|WAOA,B
IEEE Wireless Communications and Networking Conference|WCNC,B
IEEE/WIC/ACM International Conference on Web Intelligence (previously joint with Intelligent Agent Technology WI-IAT)|WI,B
"IEEE International Conference on Wireless and Mobile Computing, Networking and Communications|WiMob",B
"International Symposium on Modelling and Optimization in Mobile, Ad Hoc, and Wireless Networks|WiOpt",B
International Conference on Web Information Systems Engineering|WISE,B
"International Conference on Availability, Reliability and Security|ARES",B
IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining|ASONAM,B
International Symposium on Automated Technology for Verification and Analysis|ATVA,B
Advanced Visual Interfaces|AVI,B
IEEE International Conference on Advanced Video and Signal Based Surveillance|AVSS,B
IEEE International Conference on Big Data|BigData,B
Conference on Algebra and Coalgebra in Computer Science|CALCO,B
International Conference on Cryptology and Network Security|CANS,B
Computer Algebra in Scientific Computing|CASC,B
International Conference on Compiler Construction|CC,B
IEEE Congress on Evolutionary Computation|CEC,B
IEEE International Conference on Cloud Computing|CLOUD,B
International Conference on Network and Service Management (amalgamation of DSOM and related workshops from 2010)|CNSM,B
Annual Meeting of the Cognitive Science Society|CogSci,B
International Conference on Computational Linguistics|COLING,B
International Computer Software and Applications Conference|COMPSAC,B
Conference on Computational Natural Language Learning|CoNLL,B
International Conference on Cooperative Information Systems|CoopIS,B
International Conference on Integration of Artificial Intelligence and Operations Research Techniques in Constraint Programming for Combinatorial Optimization Problems|CPAIOR,B
Combinatorial Pattern Matching|CPM,B
International Conference on Computer Supported Education|CSEDU,B
Annual Conference on Computer Science Logic|CSL,B
Cryptographers Track at RSA Conference|CT-RSA,B
International Workshop on Document Analysis Systems|DAS,B
Data Warehousing and Knowledge Discovery|DaWaK,B
IFIP WG 11.3 Working Conference on Data and Applications Security (also known as DBSEC)|DBSEC,B
Data Compression Conference|DCC,B
IEEE International Conference on Distributed Computing in Sensor Systems|DCOSS,B
DNA Computing and Molecular Programming|DNA,B
ACM Symposium on Document Engineering|DocEng,B
Discovery Science|DS,B
IEEE International Conference on Data Science and Advanced Analytics|DSAA,B
IEEE International Conference on e-Science and Grid Computing|e-Science,B
European Conference on Technology Enhanced Learning|EC-TEL,B
European Conference on Modelling Foundations and Applications|ECMFA,B
European Conference on Computer Supported Cooperative Work|ECSCW,B
Educational Data Mining|EDM,B
IEEE International Enterprise Distributed Object Computing Conference|EDOC,B
International Conference on Knowledge Engineering and Knowledge Management|EKAW,B
"EMAS (merger of DALT, AOSE and PROMAS)|EMAS",B
International Conference on Evaluation of Novel Approaches to Software Engineering|ENASE,B
European Symposium on Artificial Neural Networks|ESANN,B
Eye Tracking Research and Applications|ETRA,B
European Conference on Genetic Programming|EUROGP,B
International European Conference on Parallel and Distributed Computing (was International Conference on Parallel Processing)|EuroPar,B
European SPI|EuroSPI,B
Eurographics/IEEE Symposium on Visualization|EuroVis,B
International Conference on Applications of Evolutionary Computation|EvoApplications,B
European Conference on Evolutionary Computation in Combinatorial Optimisation|EvoCOP,B
International Conference on Embedded Wireless Systems and Networks (wasEuropean Conference on Wireless Sensor Networks)|EWSN,B
Fundamental Approaches to Software Engineering|FASE,B
International Symposium on Fundamentals of Computation Theory|FCT,B
IEEE International Conference on Automatic Face and Gesture Recognition|FG,B
Formal Methods in Computer-Aided Design|FMCAD,B
International Conference on Formal Structures for Computation and Deduction|FSCD,B
IEEE International Conference on Fuzzy Systems|FUZZ-IEEE,B
Graphics Interface|GI,B
IEEE Global Telecommunications Conference|GLOBECOM,B
International Conference on Generative Programming and Component Engineering|GPCE,B
ACM Special Interest Group on Supporting Group Work (was SIGGRoup)|Group,B
Human-Agent Interaction|HAI,B
"International Symposium on Parallel Architectures, Algorithms and Networks|I-SPAN",B
International Conference on Model Transformation|ICMT,B
Asia-Pacific Conference on Simulated Evolution and Learning|SEAL,B
Technology of Object-Oriented Languages and Systems|TOOLS,B
International Conference on Virtual Systems and MultiMedia|VSMM,B
International Workshop on Coding and Cryptography|WCC,B
IEEE International Conference on Autonomic Computing|ICAC,B
Computer Supported Collaborative Learning|CSCL,B
INTERNATIONAL SYMPOSIUM ON PERVASIVE DISPLAYS|PerDis,B
Application of Concurrency to System Design|ACSD,B
Workshop on Analytic Algorithmics and Combinatorics|ANALCO,B
Database Programming Languages|DBPL,B
IEEE International Symposium on High Assurance Systems Engineering|HASE,B
International Conference on Conceptual Structures|ICCS,B
ACM/IEEE International Conference on Distributed Smart Cameras|ICDSC,B
IEEE International Conference on High Performance Computing and Simulation|IEEE HPCS,B
Conference of the Pacific Association for Computational Linguistics|PACLING,B
Summer Computer Simulation Conference|SCSC,B
European Conference on Software Architecture|ECSA,B
International Symposium on Algorithms and Computation|ISAAC,B
International Conference on Logic Programming|ICLP,B
Extending Database Technology|EDBT,B
Advances in Financial Technologies|AFT,B
Euromicro Conference on Real-Time Systems|ECRTS,B
Extended Semantic Web Conference (was European Semantic Web Conference)|ESWC,B
International Conference on Cloud Engineering|IC2E,B
International Workshop on Graph-Theoretic Concepts in Computer Science|WG,B
International Symposium on Mathematical Foundations of Computer Science|MFCS,B
ACM SIGIR Conference on Human Information Interaction And Retrieval|CHIIR,B
Foundations of Software Science and Computational Structures|FOSSACS,B
International Conference on AI Engineering – Software Engineering for AI|CAIN,B
IEEE International Symposium on Performance Analysis of Systems and Software|ISPASS,B
IEEE European Test Symposium|ETS,B
International Symposium on Formal Methods (was Formal Methods Europe FME)|FM,B
"IEEE International Symposium on Cluster, Cloud and Grid Computing|CCGRID",B
International Symposium on Symbolic and Algebraic Computation|ISSAC,B
IEEE International Conference on Smart Computing|SmartComp,B
"GI International Conference on Detection of Intrusions and Malware, and Vulnerability Assessment|DIMVA",B
Conference on Agile Software Development|XP,B
Certified Programs and Proofs|CPP,B
"Logics in Artificial Intelligence, European Conference|JELIA",B
International Conference on Database Systems for Advanced Applications|DASFAA,B
"Conference on Interactive Theorem Proving (previously TPHOLs, changed in 2009)|ITP",B
IEEE International Conference on Computational Photography|ICCP,B
ACM SIGGRAPH/Eurographics Symposium on Computer Animation|SCA,B
International Workshop on Fast Software Encryption|FSE,B
The Symposium of Combinatorial Search|SoCS,B
International Conference on Affective Computing and Intelligent|ACII,B
ACM Virtual Reality Software and Technology|VRST,B
IEEE International Conference on Robot and Human Interactive Communication|RO-MAN,B
AAAI Conference on Human Computation and Crowdsourcing|HCOMP,B
Creativity and Cognition|C&C,B
International Conference on Concurrency Theory|CONCUR,B
International Conference on Applied Cryptography and Network Security|ACNS,B
International Conference on Cooperative and Human Aspects of Software Engineering|CHASE,B
Annual Conference on Innovation and Technology in Computer Science Education|ITiCSE,B
International ACM Conference on Automotive User Interfaces and Interactive Vehicular Applications|Automotive_UI,B
International Conference on Persuasive Technology|Persuasive,B
IEEE Pacific Visualization Symposium (was APVIS)|PacificVis,B
IEEE International Symposium on Computer-Based Medical Systems|CBMS,B
Asia and South Pacific Design Automation Conference|ASPDAC,B
Field Programmable Logic and Applications|FPL,B
ACM Symposium on Applied Perception|SAP,B
ACM Conference on Learning @ Scale|L@S,B
Algorithmic Learning Theory|ALT,B
Conference on Integer Programming and Combinatorial Optimization|IPCO,B
Theoretical Aspects of Rationality and Knowledge|TARK,B
Theory of Cryptography Conference|TCC,B
ACM Symposium on Mobile Ad Hoc Networking and Computing|MOBIHOC,B
Asian Conference on Computer Vision|ACCV,B
Asian Conference on Intelligent Information and Database Systems|ACIIDS,B
Advanced Concepts for Intelligent Vision Systems|ACIVS,B
ACM Conference on Security and Privacy in Wireless and Mobile Networks|ACM_WiSec,B
International Conference on Artificial Intelligence in Medicine|AIME,B
Advances in Modal Logic|AiML,B
International Conference on Advanced Information Networking and Applications (was ICOIN)|AINA,B
Asia-Pacific Bioinformatics Conference|APBC,B
ASIAN Symposium on Programming Languages and Systems|APLAS,B
"International Symposium on Applied Algebra, Algebraic Algorithms and Error-Correcting Codes|AAAAECC",B
ACM SIGMIS Computers and People Research|ACM-SIGMIS CPR,B
International Symposium on Advanced DB Technologies and Integration|ADTI,B
International Conference on Informatics Education and Research|AIS SIGED: IAIM,B
International Conference on Advances in Intelligent Systems: Theory and Applications|AISTA,B
Algorithms and Experiments|ALEX,B
International Conference on Algebraic and Logic Programming|ALP,B
Artificial Neural Networks in Engineering Conference|ANNIE,B
Annual Simulation Symposium|ANSS,B
International Workshop on Ant Colony|ANTS,B
Asian Computing Science Conference|ASIAN,B
IEEE/IFIP International Conference on Information Technology for Balanced Automation Systems|BASYS,B
International Conference on Business Information Systems|BIS,B
Workshop on Combinatorial and Algorithmic Aspects of Networking|CAAN,B
IEEE/IFAC Joint Symposium on Intelligent Control|CACSD,B
Conference on Artificial Intelligence for Applications|CAIA,B
Cultural Attitudes towards Technology and Communications|CATAC,B
"IEEE Conference on Electronic Commerce Technology and Enterprise Computing, e_Commerce and e-Services|CBI (was CEC/EEE)",B
IEEE International Conference on Control Applications|CCA,B
Journal of Computing Science in Colleges (Conference proceedings)|CCSC,B
IEEE Computer Communications Workshop|CCW,B
IFIP/ACM Working Conference on Component Deployment|CD,B
International Conference on Email and Anti-Spam|CEAS,B
"Conference on Information Science, Technology and Management|CISTM",B
Complexity and information-theoretic approaches to biology|CITB,B
International Cognitive Robotics Conference|COGROBO,B
Collaborative Electronic Commerce Technology and Research|CollECTeR,B
Symposium on Logical Formalizations of Commonsense Reasoning|COMMONSENSE,B
International Symposium on Computational Life Science|CompLife,B
International Conference on Information Resources Management|Conf-IRM,B
International Conference on Digital Government Research|DGO,B
International Conference on Discrete Mathematics and Theoretical Computer Science|DMTCS,B
Distributed Simulation Symposium|DSS,B
Design for User Experience|DUX,B
IEEE Dynamic Spectrum Access Networks|DYSPAN,B
European Conference on Artificial Life|ECAL,B
IEEE International Conference and Workshop on the Engineering of Computer Based Systems|ECBS,B
International Conference on Electronic Commerce and Web Technology|ECWeb,B
"Language Descriptions, Tools and Applications|LDTA",B
Logic and Engineering of Natural Language Semantics|LENLS,B
International Workshop on Logic Programming and Multi-Agents|LPMA,B
Mechatronics and Machine Vision in Practice|M2VIP,B
World Congress on Medical and Health Informatics|MEDINFO,B
Joint workshop on Multimodal Interaction and Related Machine Learning Algorithms (now ICMI-MLMI)|MLMI,B
Medicine Meets Virtual Reality|MMVR,B
International Conference on Massively Parallel Computing Systems|MPCS,B
Massively Parallel Processing Using Optional Interconnections|MPPOI,B
IFIP International Conference on Open Distributed Processing|ODP,B
The organizational semiotics Conference|ORGSEM,B
Pacific Asian Conference on Expert Systems|PACES,B
Participatory Design Conference|PDC,B
Symposium on Programming Language Implementation and Logic Programming|PLILP,B
Annual PPIG Workshop|PPIG,B
International Conference on Qualitative Research in IT & IT in Qualitative Research|QualIT,B
International Workshop on Requirements Engineering Visualization|REV,B
International Workshop on Research Issues in Data Engineering|RIDE,B
RuleML: International Web Rule Symposium (pre 2007 was 'International Conference on Rules and Rule Markup Languages for the Semantic Web')|RuleML,B
"Symposium on Abstraction, Reformulation and Approximation|SARA",B
International Conference on Software Composition|SC,B
International Conference on Software Engineering: Education and Practice|SEEP,B
Singapore International Conference on Intelligent Systems|SPICIS,B
ACM Workshop on Scalable Trusted Computing|STC,B
Software Technology and Engineering Practice Conference|STEP,B
International Conference on Software Development|SWDC,B
International Conference on Theoretical and Methodological Issues in machine Translation|TMI,B
Unconventional Models of Computation|UMC,B
IFIP Working Conference on Visual Database Systems|VDbS,B
"International Meeting on High Performance Computing for Computational Science (previously International Meeting Vector and Parallel Processing, changed in 2002)|VECPAR",B
Workshop on Algorithm Engineering|WAE,B
International Workshop on Artificial Intelligence and Statistics|WAIS,B
World Congress on Expert Systems|WCES,B
World Congress on Neural Networks|WCNN,B
IEEE Working Conference on Reverse Engineering|WCRE,B
World Congress on Systems Simulation|WCSS,B
International Workshop on Web Content Caching and Distribution|WCW,B
International Workshop on Efficient Algorithms|WEA,B
ACM Workshop on Web Information and Data Management|WIDM,B
IEEE International Workshop on Object-Oriented Real-Time Dependable Systems|WORDS,B
"International Conference on Agile Software Development (chnaged in 2010, was International Conference on extreme Programming and Flexible Processes in Software Engineering)|XP",B
International Workshop on Agents and Data Mining Interaction|ADMI,B
2008 International Conference on Biomedical Robotics and Biomechatronics|BIO ROB,B
AAEE - Annual Conference of Australasian Association for Engineering Education,B
ACM International Workshop on. Mobility Management and Wireless Access|MobiWac,B
AIAA Aerospace Sciences Meeting,B
AISB Convention (Society for the Study of Artificial Intelligence and Simulation of Behaviour)|AISB,B
Ambient Information Systems|AIS,B
Americas Conference on Wind Engineering,B
ASEE Annual Conference and Exposition,B
ASEE Global Colloquium of Engineering Education,B
Asia Pacific Conference on Combustion,B
Asian Symposium on Visualization,B
Asia-Pacific Conference on Wind Engineering,B
Asia-Pacific Vibration Conference,B
Association of Collegiate Schools of Architecture (ACSA) Annual Meeting|ACSA,B
Australasian Conference on the Mechanics of Structures and Materials,B
Australia New Zealand Geomechanics conference,B
Australian and New Zealand Architectural Science Association (ANZAScA) Annual Conference|ANZAScA,B
Australian and New Zealand Association of Planning schools|ANZAPS,B
Australian Conference on Laser Diagnostics in Fluid Mechanics and Combustion,B
Australian Earthquake Engineering Conference,B
Australian Institute of Building Surveyors International Refereed Conference|AIBS,B
Australian Road Research Board Annual Conference,B
Australian Universities Building Education Association Annual Conference|AUBEA,B
Automation and Robotics International Symposium|ISARC,B
International Conference on Computing Education Research (Baltic Sea Conference on Computing Education Research prior to 2008)|Koli Calling,B
Baosteel Academic Conference,B
Bled Electronic Commerce Conference|BECC,B
British National Conference on Databases|BNCOD,B
Built Environment Education Conference|BEECON,B
Canadian Artificial Intelligence Conference|CAAI,B
Canadian Geotechnical Society Conference,B
Chemeca: Australasian Conference on Chemical Engineering,B
Computational Wind Engineering,B
Computing and Control in the Water Industry 2009,B
Congress of the Italian Assoc for AI|AI*IA,B
Construction Automation Conference,B
Construction in the Twenty-first Century Conferences|CITC,B
Construction Management and Real Estate International Symposium|CRIOCM,B
Cooperative Research Centre for Construction Innovation International Conference|CRCCI,B
Declarative Agent Languages and Technologies (merged into EMAS in 2013)|DALT,B
Design Research Society (UK) International Conference|DRS,B
Design Society Conferences,B
Designing Pleasurable Products And Interfaces|DPPI,B
Deutsche Arbeitsgemeinschaft für Mustererkennung DAGM e.V|DAGM,B
East Asia-Pacific Conference on Structural Engineering and Construction,B
Ecopolitics,B
Education and Research in Computer Aided Architectural Design in Europe|eCAADe,B
Engineering Education series (organised by Higher Education Academy Engineering Subject Centre UK),B
Entertainment and media in the ubiquitous era (ACM)|MINDTREK,B
Environmental Design Research Association|EDRA,B
Europe-Africa Conference on Wind Engineering,B
European Metallurgical Congress,B
European Transport Conference|ETC,B
FISITA World Automotive Congress,B
French Conference on Knowledge Acquisition and Machine Learning|FCKAML,B
"Geometric Modelling and Imaging, International Conference (IEEE)|GMAI",B
German Conference on Multi-Agent system Technologies|MATES,B
Global Conference on Sustainable Product Development and Life Cycle Engineering,B
Hydrology and Water Resources Symposium,B
IEEE Conference on Automation Science and Engineering,B
IEEE Global Telecommunications Conference|IEEE GLOBECOM,B
IEEE International Conference on Mechatronics and Automation,B
IEEE International Conference on Robotics and Biomimetics,B
IEEE International Dynamic Spectrum Access Networks Symposium|IEEE DYSPAN,B
IEEE International Symposium on Electronics and the Environment,B
IEEE/IFAC Computer Aided Control System Design|CACSD,B
Infrastructure and Environment (International Postgraduate Conference)|IPC,B
Intelligent Vehicles Symposium|IEEE IV,B
Interior Design Educators Association (IDEA) Conference|IDEA,B
Interiors Forum Scotland conference|IFS,B
"Interiors Forum World, Politecnico di Milano|IFW",B
International Association for the Study of Traditional Environments (US)|IASTE,B
International Association of Ergonomics Societies Congress|IEA,B
International Association of Societies of Design Research|IASDR,B
International Conference on Advanced Materials Processing,B
International Conference on Biomedical and Pharmaceutical Engineering,B
International Conference on Construction and Real Estate Management|ICCREM,B
International Conference on Engineering Computational Technology,B
"International Conference on Engineering Design (ICED), The Design Society|ICED",B
"International Conference on Fluid Control, Measurements, and Visualization",B
International Conference on Fluid Mechanics,B
"International Conference on Intelligent Sensors, Sensor Networks and Information Processing|ISSNIP",B
"International Conference on Mechanics of structures, Materials and System",B
ACM-SIGRAPH Interactive 3D Graphics and Games|I3DG,B
International Conference on Agents and Artificial Intelligence|ICAART,B
IEEE International Conference on Advanced Learning Technologies|ICALT,B
International Conference on Computational Collective Intelligence|ICCCI,B
International Conference on Computer Communication and Networks|ICCCN,B
IEEE International Conference on Engineering of Complex Computer Systems|ICECCS,B
International Conference on Frontiers of Handwriting Recognition|ICFHR,B
International Conference on Graph Transformations|ICGT,B
IEEE International Conference on Image Processing|ICIP,B
International Conference on Multimodal Interaction (was International Conference on Multimodal Interfaces)|ICMI,B
International Conference on Multimedia Retrieval (previously MIR)|ICMR,B
International Conference on Network Protocols|ICNP,B
International Conference on Neural Information Processing|ICONIP,B
International Conference on Parallel and Distributed Systems|ICPADS,B
ACM/SPEC International Conference on Performance Engineering|ICPE,B
International Conference on Process Mining|ICPM,B
International Conference on Parallel Processing|ICPP,B
International Conference on Pattern Recognition|ICPR,B
International Conference on Software Reuse|ICSR,B
International Conference on Software and System Processes (was ICSP prior to 2011)|ICSSP,B
International Conference on Tools with Artificial Intelligence|ICTAI,B
International Conference on Web Engineering|ICWE,B
Intelligent Data Analysis|IDA,B
Interaction Design and Children (ACM)|IDC,B
The International Conference on Intelligent Environments|IE,B
IEEE Consumer Communications and Networking Conference|IEEE CCNC,B
IEEE International Conference on Software Services Engineering (previously IEEE International Conference on Services Computing SCC)|IEEE SSE,B
Intelligent Vehicles Conference|IEEE-IV,B
IFIP Information Security & Privacy Conference|IFIP SEC,B
Integrated Formal Methods|IFM,B
International Joint Conference on Biometrics|IJCB,B
International Joint Conference on Natural Language Processing|IJCNLP,B
IEEE International Joint Conference on Neural Networks|IJCNN,B
Inductive Logic Programming|ILP,B
IFIP/IEEE International Symposium on Integrated Management (even years sharing with NOMS)|IM,B
International Natural Language Generation Conference|INLG,B
IFIP TC13 Conference on Human-Computer Interaction|Interact,B
International Symposium on Parameterized and Exact Computation (was IWPEC pre 2004)|IPEC,B
IEEE International Symposium on Information Theory|ISIT,B
International Conference on Intelligent Tutoring Systems|ITS,B
Information Theory Workshop|ITW,B
Intelligent Virtual Agents|IVA,B
ACM International Wireless Communications and Mobile Computing Conference|IWCMC,B
IEEE International Workshop on Quality of Service|IWQoS,B
Knowledge capture|K-CAP,B
International Conference on Knowledge-Based and Intelligent Information and Engineering Systems|KES,B
International Symposium on Latin American Theoretical Informatics|LATIN,B
IEEE Conference on Local Computer Networks|LCN,B
"ACM SIGPLAN Conference on Languages, Compilers and Tools for Embedded Systems|LCTES",B
Logic Programming and Automated Reasoning|LPAR,B
International Conference on Logic Programming and Non-monotonic Reasoning|LPNMR,B
Language Resources and Evaluation Conference|LREC,B
Symposium Model Analysis and Simulation of Computer and Telecommunications Systems|MASCOTS,B
European Grid Conference|EGC,B
European Conference on Knowledge Management|EKM,B
"European, Mediterranean and Middle Eastern Conference on Information Systems|EMCIS",B
ERCIM Annual Workshop on Constraint Solving and Constraint Logic Programming|ERCIM/CSCLP,B
European Simulation Symposium|ESS,B
European Natural Language Generation Workshop|EuroNLG,B
European PKI Workshop: Theory and Practice|EUROPKI,B
European Signal Processing Conference|EUSIPCO,B
European Workshop on Learning Robots|EWLR,B
Formal Power Series and Algebraic Combinatorics|FPSAC,B
International Workshops on First-Order Theorem Proving|FTP,B
Formal Techniques in Real-Time and Fault Tolerant Systems|FTRTFT,B
International Conference of Society for Group Decision and Negotiation|GDN,B
Global Information Technology Management Association World Conference|GITMA,B
Human Language Technologies|HLT,B
Workshop on Power Aware Computing and Systems|HotPower,B
IEEE Workshop on Hot Topics in Web Systems and Technologies|HotWeb,B
International Conference on High Performance Computing and Networking|HPCN,B
"International Conference on High Performance Computing, Networking and Communication Systems|HPCNCS",B
"International Conference on Intelligent Agents, Web Technologies, and Internet Commerce|IAWTIC",B
International Business Information Management|IBIMA,B
International Conference on Internet Computing|IC,B
IEEE International Conference on Communications|ICC,B
International Conference on Computing and Information|ICCI,B
International Conference on e-Business|ICEB,B
IEEE International Conference on e-Business Engineering|ICEBE,B
International Conference on Genetic Algorithms|ICGA,B
"International Conference on Information, Communications and Signal Processing|ICICS",B
IEEE International Conference on Neural Networks|ICNN,B
IEEE International Conference on Networks|ICON,B
International Computer Science Conference|ICSC,B
IEEE International Conference on Wireless Information Technology and Systems|ICWITS,B
IEEE International Conference on Radio Frequency Identification|IEEE RFID,B
International Joint Conference on Computational Linguistics|IJCNLP2,B
IEEE Intell Network Workshop|IN,B
IEEE International Symposium on Intelligence in Neural & Biological Systems|INBS,B
Information Resources Management Association International Conference|IRMA,B
Integration of Software Engineering and Agent Technology|ISEAT,B
Information Systems Education Conference|ISECON,B
International Symposium on Empirical Software Engineering|ISESE,B
IEEE International Symposium on Intelligent Control|ISIC,B
International Symposium on Mathematical Morphology|ISMM,B
International Conference on Information Systems Technology and its Application|ISTA,B
International Workshop on Computer-Aided Software Eng|IWCASE,B
International Workshop on Paraphrasing|IWP,B
International Workshop on Parsing Technologies|IWPT,B
Joint Modular Languages Conference|JMLC,B
International Conference on Product Research,B
International Conference on Shock and Impact Loads on Structures,B
International Conference on Sustainable Construction Materials and Technologies|SCMT,B
International Conference on Water Sensitive Urban Design,B
International Conference on Wired / Wireless Internet Communications|WWIC,B
International Congress Aeronautical Sciences,B
International Congress of Construction History|ICCH,B
International Congress on Industrial and Applied Mathematics,B
International Construction Management and Economics Conference|SIBRAGEC,B
International Crashworthiness Conference,B
International Joint Workshop on Computational Creativity|IJWCC,B
International Maritime Conference,B
International Planning History Society|IPHS,B
International Symposium on Cavitation,B
International Symposium on Communications and Information Technologies|ISCIT,B
"International Symposium on Environmental Vibrations: Prediction, Monitoring, Mitigation and Evaluation",B
International Symposium on frontiers in offshore geotechnics,B
International Symposium on Structural Engineering,B
International Workshop Programming Multi-Agent Systems (merged into EMAS in 2013)|PROMAS,B
Meeting of the International Environmental Modelling and Software Society,B
Methods Effectives en Geometrie Algebrique|MEGA,B
Mobile Media|MMC,B
National Conference on Hydraulics in Water Engineering,B
Nordic Design Research Conference|NORDES,B
Project Management conference|PMOZ,B
"SAE Powertrains, Fuels, and Lubricants Meeting",B
SAE World Congress,B
Scandinavian Conference on Artificial Intelligence|SCAI,B
Scandinavian Workshop on Algorithm Theory|SWAT,B
SEFI - Annual Conference of European Society for Engineering Education,B
Structural Engineering and Construction Conference|APSEC-EASEC,B
Symposium on Advanced Structural Steels and New Rolling Technologies,B
Thermo and Fluid Dynamic Processes in Diesel Engines,B
TMS Annual Meeting and Exhibition,B
UK Ireland Planning Research Conference|PRC,B
United Kingdom Systems Society|UKSS,B
Urban History Planning History (Australasia)|UHPH,B
"World Congress on Cost Engineering, Project Management and Quantity Surveying, AACE American Association of Cost Engineers|ICEC",B
World of Construction Project Management Conference|WCPM,B
Asia Pacific Association for Medical Informatics Conference|APAMI,B
Chicago ASA Data Mining Conference- A Hard Look at DM|ASADM,B
Argentine Workshop on Theoretical Informatics|AWTI,B
Agent-Oriented Information Systems Workshop|AOIS,B
International Workshop on Software Process Simulation and Modelling (now ICSP)|PROSim,B
Workshop on Distributed Algorithms (DISC since 1998)|WDAG,B
International Conference on Multimedia|ICMR,B
ACM SIGSOFT Workshop on Program Analysis for Software Tools and Engineering|PASTE,B
Conference on the Quality of Software Architectures|QoSA,B
IEEE Symposium on 3D User Interfaces|3DUI,B
International Conference on Artificial Reality and Telexistence|ICAT,B
International Symposium Component-Based Software Engineering|CBSE,B
International Conference on Networking and Mobile Computing|ICCNMC,C
"International Conference on Networking, Sensing and Control|ICNSC",C
International Conference on Networks and Communications|NetCoM,C
International Conference on Next Generation Wired/Wireless Advanced Networking|NEW2AN,C
International Conference on Telecom Technology and Applications|ICTTA,C
International Conference on Virtual Storytelling (merged into ICIDS in 2008)|ICVS,C
"International Conference on Wireless Communications, Networking and Mobile Computing|WiCOM",C
International Manufacturing Leaders Forum,C
International Multi-Conference on Engineering and Technological Innovation|IMETI,C
International Network for Tropical Architecture conferences|INTA,C
International Postgraduate Research Conference (Research Institute for the Built and Human Environment (BuHu))|BuHu IPGRC,C
International Research Week Conference|IPGRC,C
International Symposium on Fault-Tolerant Computing|FTCS,C
International Symposium on Wireless Personal Multimedia Communications|WPMC,C
International Urban Design Conference|IUDC,C
International Wireless Internet Conference|WiCon,C
International Workshop on Foundations for Secure/Survivable Systems and Networks|FSSSSN,C
International Workshop on Satellite and Space Communications|IWSSC,C
International Workshop on Wireless and Mobile Networks|WiMoNe,C
Italian Conference on Theoretical Computer Science|ICTCS,C
Italian Symposium on Advanced Database Systems|SEBD,C
Japan Conference on Computational Geometry and Graphs|JCCGG,C
Japan Conference on Discrete and Computational Geometry|JCDCG,C
Japan-China Joint Workshop on Frontier of Computer Science and Technology|FCST,C
Japanese-Hungarian Symposium on Discrete Mathematics and Its Applications|JH,C
Japan-Korea Joint Workshop on Algorithms and Computations|WAAC,C
Joint European Networking Conference|JENC,C
"Joint iTrust and PST Conferences on Privacy, Trust Management and Security|IFIP TM",C
Latin American Conference on Pattern Languages of Programming|SugarLoafPLoP,C
Latin American Web Congress|LA-WEB,C
Management of Innovation and Technology International Conference|ICMIT,C
"Mid-West Conference on Combinatorics, Cryptography, and Computing|MIGHTY",C
Modern Asian Architecture Network conferences|mAAN,C
Multi-national Joint Ventures for Construction Works Conference,C
NASA LaRC Formal Methods Workshop|LARC,C
National Advisory Committee on Computing Qualifications|NACCQ,C
National Conference Communications|NCC,C
National Conference on Computer and Information Systems|NCCIS,C
National Database Conference (China)|NDB,C
National Information Systems Security Conference (was National Computer Security Conference)|NISSC,C
National Science Foundation symposium on Next Generation Data Mining and Cyber Enabled Discovery for Innovation (was.NSF workshop on Next Generation Data Mining)|NGDM,C
NATO Conference on software engineering|NATOSE,C
Networked Group Communication|NGC,C
Nordic Conference on Pattern Languages of Programs|VikingPLoP,C
Nordic Construction Economics and Organisation Conference,C
Nordic Workshop on Secure IT Systems|NordSec,C
North American Conference on Logic Programming|NACLP,C
North American Fuzzy Information Processing Society Conference|NAFIPS,C
Norwegian Computer Human Interaction|NORDCHI,C
Parallel Computing with FPGAs|ParaFPGA,C
Postgraduate Researchers of the Built and Natural Environment Conference|PRoBE,C
Quantity Surveying International Convention|QSIC,C
RINA International Conference on Military Support Ships,C
Scottish Functional Programming Workshop|SFP,C
SEA - Conference on Sustainable Building South-East Asia (CIB Co-Sponsored)|SBSEA,C
SIGGRAPH/EUROGRAPHICS Conference On Graphics Hardware|HWWS,C
South African Construction Health and Safety conference|SABERC,C
Southern Conference on Computing|SCC,C
Southwestern Conference on Pattern Languages of Programs|ChiliPLoP,C
Spanish Meeting on Computational Geometry|EGC,C
Symposium on Information Theory in the Benelux,C
Technology for Interactive Digital Storytelling (merged into ICIDS in 2008)|TIDSE,C
The IASTED International Conference on Applied Simulation and Modelling (International Association of Science and Technology for Development),C
"The International Conference on Mobile Technology, Applications and Systems|MOBILITY",C
The Northern Formal Methods Workshops|NFM,C
Traitement Automatique des Langues Naturelles|TALN,C
UK Academy of Information Systems Conference|UKAIS,C
UK e-Science All Hands Meeting|UK e-Science,C
UK Wind Engineering Society Conference on Wind Engineering,C
United Kingdom Virtual Reality Special Interest Group Conference UK-VRSIG|VR-SIG,C
US Office of Naval Research Symposium on Naval Hydrodynamics,C
Western Canadian Conference on Computing Education|WCCCE,C
Western Decision Sciences Institute Conference|WDSI,C
Western European Workshop on Research in Cryptology|WeWoRC,C
Workshop on Application Specific Processors|WASP,C
